gender,age,earnings,trips,rating,tenure_months,cancellation_rate,city_tier,past_defaults,good_credit
Male,38,55948.56,206,4.79,37,0.187,2,0,1
Female,26,23814.17,182,4.13,76,0.237,1,1,0
Female,25,20000.0,199,4.58,24,0.358,2,0,0
Male,27,33372.44,172,4.91,96,0.113,3,0,1
Female,51,64793.66,194,4.58,28,0.112,2,0,0
Male,30,25646.75,179,4.25,68,0.238,2,0,0
Male,34,20000.0,187,4.81,25,0.144,2,0,0
Female,32,23456.6,191,4.58,61,0.149,1,0,0
Male,23,24692.69,172,4.41,62,0.105,2,1,0
Female,41,20000.0,180,4.22,70,0.219,2,0,0
Female,38,21135.16,194,4.83,100,0.14,3,2,0
Male,25,40579.81,183,4.36,114,0.211,2,0,1
Male,33,88106.77,172,4.44,7,0.143,2,2,0
Male,30,50943.01,204,4.72,75,0.113,2,1,1
Female,26,52069.09,173,4.29,84,0.213,1,1,1
Male,55,51582.58,204,4.78,30,0.221,3,1,1
Male,38,21487.36,192,4.31,62,0.276,1,0,0
Male,35,100011.16,148,4.48,7,0.267,1,1,1
Male,20,65601.91,176,4.31,115,0.126,3,0,1
Male,20,62906.24,192,4.94,77,0.146,3,0,1
Male,39,108795.31,180,4.68,6,0.143,3,0,1
Female,22,31395.98,200,4.13,114,0.24,2,0,1
Male,43,32902.73,188,4.99,100,0.117,1,1,1
Male,41,29917.38,173,4.91,32,0.09,2,0,0
Female,46,20091.72,178,5.0,115,0.121,1,1,1
Female,51,33703.74,175,4.1,111,0.092,2,0,1
Male,34,20000.0,193,4.65,50,0.092,2,2,0
Female,33,38406.23,202,4.35,12,0.018,3,0,0
Female,51,44761.75,163,4.38,111,0.135,2,1,1
Female,29,48017.56,165,4.66,103,0.223,3,1,0
Female,49,62324.01,183,4.8,56,0.151,3,0,1
Female,36,23414.09,197,5.0,79,0.091,2,0,0
Male,50,30853.34,188,4.25,90,0.147,2,0,1
Male,46,30073.47,173,3.87,79,0.053,1,1,0
Female,30,37396.57,190,5.0,112,0.102,3,1,1
Female,27,32768.23,160,4.98,15,0.119,2,1,0
Female,28,51594.81,194,4.39,36,0.114,1,0,1
Male,23,26521.97,188,4.92,54,0.118,3,0,1
Female,32,28285.93,161,4.65,2,0.075,1,0,0
Male,43,30539.41,185,4.05,25,0.055,2,1,0
Male,50,32171.58,184,4.89,60,0.141,1,0,1
Female,30,26354.54,180,4.4,75,0.206,3,1,0
Female,38,20000.0,201,4.49,118,0.075,1,0,1
Male,37,20000.0,187,4.54,10,0.272,2,0,0
Male,41,20000.0,202,4.9,4,0.121,1,1,0
Female,36,22988.11,164,3.95,68,0.054,2,1,0
Male,27,31236.21,188,5.0,86,0.125,3,1,1
Female,51,41391.42,183,4.0,54,0.171,2,1,0
Male,28,52066.87,166,5.0,55,0.115,1,0,1
Male,32,120980.95,178,4.67,61,0.31,2,1,1
Male,21,31195.63,160,5.0,89,0.118,2,0,1
Male,26,43362.3,189,4.75,62,0.084,1,0,1
Male,23,47374.11,149,4.29,81,0.041,1,0,1
Male,36,31344.63,184,4.44,106,0.034,2,0,1
Male,39,40884.81,168,4.61,92,0.095,3,1,1
Female,32,20000.0,180,5.0,18,0.076,1,0,0
Female,42,24536.95,180,4.79,16,0.331,1,1,0
Male,50,20000.0,210,4.63,91,0.227,1,0,1
Female,41,87941.15,169,4.69,58,0.163,3,1,1
Female,36,33645.61,223,3.93,41,0.172,2,0,0
Male,45,71686.63,193,4.47,99,0.373,2,0,1
Male,37,41101.62,206,4.3,91,0.069,3,0,1
Female,46,50134.29,173,4.44,25,0.139,1,0,0
Male,29,26307.08,155,5.0,40,0.041,1,0,1
Male,32,20651.69,191,4.45,108,0.258,2,1,0
Female,31,55568.93,191,5.0,110,0.228,2,1,1
Female,33,25771.82,173,4.6,99,0.084,3,0,1
Male,31,32764.63,179,4.19,89,0.235,2,1,1
Female,33,43629.21,162,5.0,112,0.074,2,1,1
Male,29,58348.25,193,4.78,80,0.058,2,0,1
Female,26,41721.23,159,4.43,87,0.21,1,0,1
Male,31,54733.16,164,4.35,79,0.206,1,0,1
Male,31,28600.02,150,4.56,116,0.171,2,0,1
Male,38,54484.51,161,4.38,30,0.124,2,0,1
Male,35,43652.37,171,5.0,25,0.245,1,0,1
Female,41,37185.65,168,4.2,69,0.331,2,0,0
Male,18,32243.22,193,4.68,119,0.373,2,0,1
Male,30,46798.0,180,4.72,61,0.024,3,0,1
Female,39,28655.83,187,4.23,90,0.085,2,0,1
Female,35,37016.37,163,4.28,23,0.228,1,1,0
Male,37,43776.38,206,4.77,78,0.063,2,1,1
Female,29,20000.0,171,4.65,11,0.192,1,0,0
Male,33,23888.72,163,4.05,73,0.301,2,1,0
Male,34,20000.0,182,4.96,45,0.311,1,1,0
Male,48,20657.01,192,4.45,37,0.138,1,2,0
Male,49,28593.46,190,4.58,96,0.206,3,0,0
Female,41,56759.09,178,4.81,13,0.113,3,0,1
Female,18,37047.65,145,5.0,28,0.027,1,1,0
Male,46,56579.53,199,4.87,47,0.303,1,0,1
Male,29,41194.3,176,5.0,109,0.094,1,0,1
Male,56,39372.73,179,4.61,34,0.074,2,0,0
Female,33,20000.0,193,4.63,5,0.08,2,0,0
Male,52,83029.2,179,5.0,16,0.104,2,0,1
